station_id,nearest_station,nearest_line,cluster,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,axis_mobility_demand_score,axis_observed_subway_score,axis_hidden_gap_score,axis_visual_morphology_score,axis_temporal_dynamics_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share
2519,까치산,5호선,0,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.956395573320638,0.32187488809927217,0.7948130384743927,0.5747395919767537,1.0,368935521.44,261857667,0.6781251119007279,0.1831055203801684
2824,단대오거리,8호선,1,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,0.796494601645585,0.11391769839729314,0.9602055102487025,0.20836575145496802,0.7660305664580683,269839175.43,92678671,0.6170014051339521,0.4435378622814079
2561,마천,5호선,1,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,1.0,0.07346211589568688,1.0,0.0906336817226091,0.6678655640485258,253468351.25,59766922,0.6130045307725955,0.4984772738170403
249,신정네거리,2호선,4,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,0.6826106985422558,0.10499493233789715,0.8555770440508486,0.47430596928849567,0.6555475949002469,239125569.46,85419751,0.5425260948670856,0.3603671281770421
2716,중계,7호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.6088980757302447,0.16082899971787942,0.6804715992459499,0.36298431302322065,0.6461775747987072,243142201.45,130842328,0.4975985742990838,0.1636961299298954
2611,응암,6호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.6416749524706503,0.1957095694151015,0.6759957286763615,0.3786653759455084,0.6476921191817634,240498375.91,159218648,0.4555391027043245,0.188167652312692
314,홍제,3호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.7310533883548023,0.19951884212781432,0.7957632028833866,0.0,0.6382292985437796,238227911.64,162317598,0.4455647332370832,0.3520344215027683
2560,거여,5호선,2,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,0.5553094214701543,0.10119025196867319,0.926384215990945,0.49294016370534754,0.5665761798910853,209602046.57,82324537,0.4661641865978613,0.5080543103592082
4107,가양,9호선,2,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.5781996219534808,0.12134400704589396,0.6620157293775285,0.5512512189958847,0.5717801260123194,212046872.73,98720181,0.4526489811880185,0.1719634998646272
2823,남한산성입구(성남법원.검찰청),8호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.8159171226252417,0.13425253759275357,0.832876990670097,0.015603159434820659,0.5644292487178295,214095899.07,109221632,0.4453042667318112,0.4007729411572984
2820,장지,8호선,3,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.5886593998600202,0.19034576753478344,0.7106083964362883,0.5749078349770453,0.6159393274703231,224103669.77,154855045,0.41638559992996,0.2616778461066073
213,구의(광진구청),2호선,2,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,0.6339412897958334,0.28383523720327475,0.5453437550713273,0.6917797945866833,0.6907832937949683,253085011.18,230911346,0.4015905084243417,0.0561534128541985
2750,광명사거리,7호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.8112481048629052,0.2334744872953647,0.707617055297124,0.087040967132076,0.6316233097782931,235605602.13,189941466,0.4044886096444441,0.2663429347294357
2749,철산,7호선,1,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,0.7202523865761594,0.2269933913534386,0.6658177875827812,0.20778770399281302,0.6109447474466719,228846966.66,184668913,0.3926176697707448,0.2202223258430845
2757,부천시청,7호선,0,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,0.5224895335679764,0.0692149270924231,0.8582106103542266,0.7432958316429825,0.5256877342459401,189524526.42,56311715,0.443622091424271,0.4351262478675028
248,양천구청,2호선,4,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,0.5051411534464841,0.07360253515651288,0.6134716142303698,0.5531649569590498,0.5147056384368025,187174444.5,59881157,0.4328531971143211,0.122733712453999
